"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"1089281036"	"L'Orée du Parc"	2.4948771	48.9312569	"Paris"	"amenity"	"bar"
"1089281050"	"Au Départ"	2.4935163	48.9314298	"Paris"	"amenity"	"bar"
"1094366292"	"Le Bar'Ouf"	2.3523099	48.8626564	"Paris"	"amenity"	"bar"
"1096663299"	"L'Étoile d'or"	2.3783255	48.8184928	"Paris"	"amenity"	"bar"
"1111551193"	NA	2.2904321	48.8934011	"Paris"	"amenity"	"bar"
"1113738981"	"Au Métro"	2.3122657	48.8427362	"Paris"	"amenity"	"bar"
"1114763120"	"Le Gymnase"	2.3797004	48.8850887	"Paris"	"amenity"	"bar"
"1118434386"	"Au Longchamp d'Issy"	2.2678686	48.8224847	"Paris"	"amenity"	"bar"
"1133510138"	NA	2.2871115	48.8926226	"Paris"	"amenity"	"bar"
"1134169932"	NA	2.3740111	48.6759655	"Paris"	"amenity"	"bar"
"1135295421"	NA	2.2878021	48.8951187	"Paris"	"amenity"	"bar"
"1135295422"	NA	2.2877074	48.8952297	"Paris"	"amenity"	"bar"
"1145811934"	"Chapi Chapo"	2.349036	48.8452357	"Paris"	"amenity"	"bar"
"1154378840"	"Le Café de la Mairie"	2.5755363	48.7903005	"Paris"	"amenity"	"bar"
"1164839323"	"Dr. Feelgood"	2.350326	48.8608198	"Paris"	"amenity"	"bar"
"1165053690"	"Bar Tabac"	2.219323	48.842143	"Paris"	"amenity"	"bar"
"1165739794"	"Caveau des Oubliettes"	2.3467331	48.8520115	"Paris"	"amenity"	"bar"
"1166299425"	"Le Point Du Jour"	2.257397	48.833609	"Paris"	"amenity"	"bar"
"1166504803"	"Le Moulin d'Auteuil"	2.2606251	48.8478519	"Paris"	"amenity"	"bar"
"1173675699"	"Gamelle"	2.3744755	48.8478968	"Paris"	"amenity"	"bar"
"1173675876"	"Jamon Jamon"	2.374223	48.8480184	"Paris"	"amenity"	"bar"
"1191165485"	"La Ménagerie"	2.3591245	48.8368456	"Paris"	"amenity"	"bar"
"1200417829"	"L'Absinthe"	2.2468732	48.908778	"Paris"	"amenity"	"bar"
"1202453064"	NA	2.1980973	48.8921874	"Paris"	"amenity"	"bar"
"1206262837"	"Chez Polette"	2.317169	48.9018263	"Paris"	"amenity"	"bar"
"1210666304"	"Les Bruyères"	2.267961	48.905991	"Paris"	"amenity"	"bar"
"1210867025"	"Les Sablières"	2.268192	48.90609	"Paris"	"amenity"	"bar"
"1210869467"	"Le Balto"	2.268476	48.906157	"Paris"	"amenity"	"bar"
"1211062820"	NA	2.2566305	48.8970484	"Paris"	"amenity"	"bar"
"1222301120"	NA	2.3445448	48.9197347	"Paris"	"amenity"	"bar"
"1224795726"	"Le Beyer Claude"	2.384073	48.8508003	"Paris"	"amenity"	"bar"
"1225461874"	"Tabac du Temple"	2.3622765	48.8670533	"Paris"	"amenity"	"bar"
"1231110978"	"Le Rallye"	2.2688958	48.9061652	"Paris"	"amenity"	"bar"
